,class,order,family,species,AaM,log.AaM,longevity,juvSurv,juvMort,adMort,svl,birth.svl,repmode,Terr,AdTerr,na_count,IF
109,Actinopterygii,Perciformes,Scombridae,Scomberomorus sierra,NA,NA,NA,NA,NA,NA,99,NA,0,0,0,7,0
110,Actinopterygii,Perciformes,Scombridae,Scomberomorus sinensis,NA,NA,NA,NA,NA,NA,247,NA,0,0,0,7,0
111,Actinopterygii,Perciformes,Scombridae,Scomberomorus tritor,NA,NA,NA,NA,NA,NA,99,NA,0,0,0,7,0
112,Actinopterygii,Perciformes,Scombridae,Thunnus alalunga,NA,NA,NA,NA,NA,NA,140,NA,0,0,0,7,0
113,Actinopterygii,Perciformes,Scombridae,Thunnus albacares,NA,NA,NA,NA,NA,NA,239,NA,0,0,0,7,0
114,Actinopterygii,Perciformes,Scombridae,Thunnus atlanticus,NA,NA,20,NA,NA,NA,107.95,NA,0,0,0,6,0
115,Actinopterygii,Perciformes,Scombridae,Thunnus maccoyii,NA,NA,NA,NA,NA,NA,245,NA,0,0,0,7,0
116,Actinopterygii,Perciformes,Scombridae,Thunnus obesus,NA,NA,NA,NA,NA,NA,250,NA,0,0,0,7,0
117,Actinopterygii,Perciformes,Scombridae,Thunnus thynnus,NA,NA,NA,NA,NA,NA,458,NA,0,0,0,7,0
118,Actinopterygii,Perciformes,Scombridae,Thunnus tonggol,NA,NA,NA,NA,NA,NA,144.983,NA,0,0,0,7,0
119,Actinopterygii,Perciformes,Lutjanidae,Lutjanus fuscescens,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
120,Actinopterygii,Perciformes,Lutjanidae,Lutjanus guilcheri,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
121,Actinopterygii,Perciformes,Lutjanidae,Lutjanus guttatus,3.05,1.115141591,6.666666667,0.000251362,9.28861825,0.24691358,80,NA,0,0,0,1,0
122,Actinopterygii,Perciformes,Lutjanidae,Lutjanus inermis,NA,NA,NA,NA,NA,NA,34,NA,0,0,0,7,0
123,Actinopterygii,Perciformes,Lutjanidae,Lutjanus jocu,NA,NA,NA,NA,NA,NA,128,NA,0,0,0,7,0
124,Actinopterygii,Perciformes,Lutjanidae,Lutjanus jordani,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
125,Actinopterygii,Perciformes,Lutjanidae,Lutjanus kasmira,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
126,Actinopterygii,Perciformes,Lutjanidae,Lutjanus lemniscatus,NA,NA,NA,NA,NA,NA,65,NA,0,0,0,7,0
127,Actinopterygii,Perciformes,Lutjanidae,Lutjanus lunulatus,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
128,Actinopterygii,Perciformes,Lutjanidae,Lutjanus lutjanus,NA,NA,NA,NA,NA,NA,35,NA,0,0,0,7,0
129,Actinopterygii,Perciformes,Lutjanidae,Lutjanus madras,NA,NA,NA,NA,NA,NA,30,NA,0,0,0,7,0
130,Actinopterygii,Perciformes,Lutjanidae,Lutjanus mahogoni,NA,NA,NA,NA,NA,NA,48,NA,0,0,0,7,0
131,Actinopterygii,Perciformes,Lutjanidae,Lutjanus malabaricus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
132,Actinopterygii,Perciformes,Lutjanidae,Lutjanus maxweberi,NA,NA,NA,NA,NA,NA,15,NA,0,0,0,7,0
133,Actinopterygii,Perciformes,Lutjanidae,Lutjanus mizenkoi,NA,NA,6,NA,NA,NA,32,NA,0,0,0,6,0
134,Actinopterygii,Perciformes,Lutjanidae,Lutjanus monostigma,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
135,Actinopterygii,Perciformes,Lutjanidae,Lutjanus notatus,NA,NA,19.5,NA,NA,NA,25,NA,0,0,0,6,0
136,Actinopterygii,Perciformes,Lutjanidae,Lutjanus novemfasciatus,NA,NA,NA,NA,NA,NA,170,NA,0,0,0,7,0
137,Actinopterygii,Perciformes,Lutjanidae,Lutjanus peru,NA,NA,NA,NA,NA,NA,95,NA,0,0,0,7,0
138,Actinopterygii,Perciformes,Lutjanidae,Lutjanus purpureus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
139,Actinopterygii,Perciformes,Lutjanidae,Lutjanus quinquelineatus,NA,NA,NA,NA,NA,NA,38,NA,0,0,0,7,0
140,Actinopterygii,Perciformes,Lutjanidae,Lutjanus rivulatus,NA,NA,NA,NA,NA,NA,80,NA,0,0,0,7,0
141,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon spathula,NA,NA,NA,NA,NA,NA,221,NA,0,0,0,7,0
142,Actinopterygii,Elopiformes,Elopidae,Elops saurus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
143,Actinopterygii,Perciformes,Lutjanidae,Lutjanus russellii,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
144,Actinopterygii,Perciformes,Lutjanidae,Lutjanus sanguineus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
145,Actinopterygii,Perciformes,Lutjanidae,Lutjanus sebae,NA,NA,NA,NA,NA,NA,116,NA,0,0,0,7,0
146,Actinopterygii,Perciformes,Lutjanidae,Lutjanus semicinctus,NA,NA,NA,NA,NA,NA,35,NA,0,0,0,7,0
147,Actinopterygii,Perciformes,Lutjanidae,Lutjanus stellatus,NA,NA,NA,NA,NA,NA,55,NA,0,0,0,7,0
148,Actinopterygii,Perciformes,Lutjanidae,Lutjanus synagris,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
149,Actinopterygii,Perciformes,Lutjanidae,Lutjanus timoriensis,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
150,Actinopterygii,Perciformes,Lutjanidae,Lutjanus viridis,NA,NA,NA,NA,NA,NA,30,NA,0,0,0,7,0
151,Actinopterygii,Perciformes,Lutjanidae,Lutjanus vitta,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
152,Actinopterygii,Perciformes,Lutjanidae,Lutjanus vivanus,NA,NA,NA,NA,NA,NA,83,NA,0,0,0,7,0
153,Actinopterygii,Perciformes,Lutjanidae,Macolor macularis,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
154,Actinopterygii,Perciformes,Lutjanidae,Macolor niger,NA,NA,NA,NA,NA,NA,75,NA,0,0,0,7,0
155,Actinopterygii,Perciformes,Lutjanidae,Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,86.3,NA,0,0,0,7,0
156,Actinopterygii,Perciformes,Lutjanidae,Paracaesio caerulea,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
157,Actinopterygii,Perciformes,Lutjanidae,Paracaesio gonzalesi,NA,NA,NA,NA,NA,NA,42,NA,0,0,0,7,0
158,Actinopterygii,Perciformes,Lutjanidae,Paracaesio kusakarii,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
159,Actinopterygii,Perciformes,Lutjanidae,Paracaesio sordida,NA,NA,NA,NA,NA,NA,48,NA,0,0,0,7,0
160,Actinopterygii,Perciformes,Lutjanidae,Paracaesio stonei,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
161,Actinopterygii,Perciformes,Lutjanidae,Paracaesio xanthura,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
162,Actinopterygii,Perciformes,Lutjanidae,Parapristipomoides squamimaxillaris,NA,NA,NA,NA,NA,NA,51.3,NA,0,0,0,7,0
163,Actinopterygii,Perciformes,Lutjanidae,Pinjalo pinjalo,NA,NA,NA,NA,NA,NA,80,NA,0,0,0,7,0
164,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides aquilonaris,4,1.386294361,15,1.40E-06,14.48179909,0.2,56,NA,0,0,0,1,0
165,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides argyrogrammicus,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
166,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides auricilla,NA,NA,NA,NA,NA,NA,45,NA,0,0,0,7,0
167,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides filamentosus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
168,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides flavipinnis,4,1.386294361,8.7,NA,NA,0.2,50,NA,0,0,0,3,0
169,Actinopterygii,Perciformes,Sparidae,Boops boops,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
170,Actinopterygii,Perciformes,Sparidae,Sarpa salpa,NA,NA,NA,NA,NA,NA,51,NA,0,0,0,7,0
171,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides freemani,NA,NA,NA,NA,NA,NA,23.3,NA,0,0,0,7,0
172,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides macrophthalmus,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
173,Actinopterygii,Pleuronectiformes,Bothidae,Bothus podas,NA,NA,NA,NA,NA,NA,45,NA,0,0,0,7,0
174,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides multidens,NA,NA,NA,NA,NA,NA,90,NA,0,0,0,7,0
175,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides sieboldii,NA,NA,NA,NA,NA,NA,79,NA,0,0,0,7,0
176,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides typus,NA,NA,NA,NA,NA,NA,70,NA,0,0,0,7,0
177,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides zonatus,NA,NA,10,NA,NA,NA,57.5,NA,0,0,0,6,0
178,Actinopterygii,Perciformes,Lutjanidae,Randallichthys filamentosus,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
179,Actinopterygii,Perciformes,Lutjanidae,Rhomboplites aurorubens,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
180,Actinopterygii,Perciformes,Lutjanidae,Symphorichthys spilurus,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
181,Actinopterygii,Perciformes,Lutjanidae,Symphorus nematophorus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
182,Actinopterygii,Perciformes,Istiophoridae,Makaira nigricans,NA,NA,NA,NA,NA,NA,500,NA,0,0,0,7,0
183,Actinopterygii,Perciformes,Istiophoridae,Istiompax indica,NA,NA,NA,NA,NA,NA,465,NA,0,0,0,7,0
184,Actinopterygii,Perciformes,Istiophoridae,Makaira mazara,NA,NA,NA,NA,NA,NA,500,NA,0,0,0,7,0
185,Actinopterygii,Perciformes,Istiophoridae,Kajikia albida,NA,NA,NA,NA,NA,NA,300,NA,0,0,0,7,0
186,Actinopterygii,Perciformes,Istiophoridae,Tetrapturus pfluegeri,NA,NA,NA,NA,NA,NA,254,NA,0,0,0,7,0
187,Actinopterygii,Perciformes,Istiophoridae,Tetrapturus georgii,NA,NA,NA,NA,NA,NA,182.5,NA,0,0,0,7,0
