 ,Order,SubOrder,Binomial,Genus,epithet,valid (reptile database; February 2018),main biogeographic Realm,Latitude centroid (from Roll et al. 2017),Longitude centroid (from Roll et al. 2017),insular endemic,maximum SVL,female SVL,hatchling/neonate SVL,reproductive mode,clutch size,smallest clutch,largest clutch,smallest mean clutch size,largest mean clutch size,breeding age (months),youngest age at first breeding (months),oldest age at first breeding (months),Family,IUCN redlist assessment,Longevity,"ref for longevity (if animladiversity.org, just put 1, 2 for https://www.demogr.mpg.de/longevityrecords/)"
Reptilia,Squamata,Lacertilla,Ptychoglossus grandisquamatus,Ptychoglossus,grandisquamatus,yes,Neotropic,6.7,-76.45,no,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychoglossus kugleri,Ptychoglossus,kugleri,yes,Neotropic,10.43,-68.38,no,57,54.3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychoglossus myersi,Ptychoglossus,myersi,yes,Neotropic,7.59,-76.71,no,52,42.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychoglossus plicatus,Ptychoglossus,plicatus,yes,Neotropic,8.57,-81.14,no,66,50.9,24.5,Oviparous,"2 (Herrera and Fernandez-Marin 2016, n=1)",2,2,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychoglossus romaleos,Ptychoglossus,romaleos,yes,Neotropic,10.87,-74,no,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,DD,,
Reptilia,Squamata,Lacertilla,Ptychoglossus stenolepis,Ptychoglossus,stenolepis,yes,Neotropic,3.41,-76.72,no,60,NA,NA,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychoglossus vallensis,Ptychoglossus,vallensis,yes,Neotropic,3.83,-76.26,no,54,52,NA,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychozoon bannaense,Ptychozoon,bannaense,yes,Oriental,22.08,100.88,no,87.5,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychozoon horsfieldii,Ptychozoon,horsfieldii,yes,Oriental,3.31,109.46,no,96,NA,34,Oviparous,NA,2,2,2,2,NA,NA,NA,Gekkonidae,DD,,
Reptilia,Squamata,Lacertilla,Ptychozoon intermedium,Ptychozoon,intermedium,yes,Oriental,8.54,124.46,yes,99.8,93.9,28,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gekkonidae,NT,,
Reptilia,Squamata,Lacertilla,Ptychozoon kaengkrachanense,Ptychozoon,kaengkrachanense,yes,Oriental,12.84,99.4,no,86,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychozoon kuhli,Ptychozoon,kuhli,yes,Oriental,0.07,108.84,no,108,93.2,33,Oviparous,"invariant 2 (Goldberg and Grismer 2016), 2 (Annandale 1904)",1,2,2,2,Rogner 1997: 12-24,12,24,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychozoon lionotum,Ptychozoon,lionotum,yes,Oriental,16.01,100.32,no,103,93.9,31.4,Oviparous,"2 (n=4; Sumarli et al. 2015), 2 (Pauwels et al. 2000, Vassilieva et al. 2016)",1,2,2,2,Henkel and Schmidt 1995,12,12,Gekkonidae,LC,,
Reptilia,Squamata,Lacertilla,Ptychozoon nicobarensis,Ptychozoon,nicobarensis,yes,Oriental,8.32,93.27,yes,100.3,92.5,26.7,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychozoon rhacophorus,Ptychozoon,rhacophorus,yes,Oriental,5.42,115.59,yes,75,NA,30.6,Oviparous,2 (assuming the two eggs found together by Min and Das 2012 are of the same clutch),2,2,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptychozoon trinotaterra,Ptychozoon,trinotaterra,yes,Oriental,13.05,104.84,no,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyctolaemus collicristatus,Ptyctolaemus,collicristatus,yes,Oriental,21.41,93.92,no,91.3,76.2,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agamidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyctolaemus gularis,Ptyctolaemus,gularis,yes,Oriental,25.83,94.2,no,87.4,66.8,NA,Oviparous,NA,5,15,NA,NA,NA,NA,NA,Agamidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus ananjevae,Ptyodactylus,ananjevae,yes,Palearctic,29.48,35.72,no,80,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus dhofarensis,Ptyodactylus,dhofarensis,yes,Palearctic,16.92,53.63,no,94.8,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus guttatus,Ptyodactylus,guttatus,yes,Palearctic,30.11,34.35,no,94,67.4,27.2,Oviparous,"2 (Werner 1995, TAU experimental zoo data)",1,2,2,2,2 years (Werner 2016),24,24,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus homolepis,Ptyodactylus,homolepis,yes,Palearctic,30.21,69.89,no,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus orlovi,Ptyodactylus,orlovi,yes,Afrotropic,23.37,57.6,no,89.5,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus oudrii,Ptyodactylus,oudrii,yes,Palearctic,31.93,-1.77,no,62,49.7,28,Oviparous,"2, occasionally one, (Mateo and Cuadrado 2012)",1,2,NA,NA,NA,NA,NA,Phyllodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Ptyodactylus puiseuxi,Ptyodactylus,puiseuxi,yes,Palearctic,32.74,36.63,no,90,65.4,30.7,Oviparous,"2 (Werner 1995), 1-2 mean 1.8 (Goldberg and Maza 2017; n=4)",1,2,1.8,2,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus ragazzii,Ptyodactylus,ragazzii,yes,Afrotropic,17.14,13.25,no,100,82,28,Oviparous,NA,1,2,2,2,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus rivapadiali,Ptyodactylus,rivapadiali,yes,Afrotropic,17.02,-12.04,no,121,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus ruusaljibalicus,Ptyodactylus,ruusaljibalicus,yes,Afrotropic,26,56.21,no,90.1,85.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Ptyodactylus togensis,Ptyodactylus,togensis,yes,Afrotropic,19.46,3.85,no,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Pygmaeascincus koshlandae,Pygmaeascincus,koshlandae,yes,Australia,-16.45,145.03,no,28,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Pygmaeascincus sadlieri,Pygmaeascincus,sadlieri,yes,Australia,-19.14,146.83,yes,30,NA,NA,Oviparous,2 (https://www.ehp.qld.gov.au/wildlife/animals-az/sadliers_skink.html ; n =1),2,2,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Pygmaeascincus timlowi,Pygmaeascincus,timlowi,yes,Australia,-23.13,148.49,no,29,28,15,Oviparous,"1-2 (Greer 1991; mean 1.67, n=3)",1,2,1.7,1.7,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Pygomeles braconnieri,Pygomeles,braconnieri,yes,Madagascar,-23.38,43.76,yes,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Pygomeles petteri,Pygomeles,petteri,yes,Madagascar,-16.22,46.94,yes,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,EN,,
Reptilia,Squamata,Lacertilla,Pygomeles trivittatus,Pygomeles,trivittatus,yes,Madagascar,-24.75,44.93,yes,147,NA,NA,Oviparous,NA,3,3,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Pygopus lepidopodus,Pygopus,lepidopodus,yes,Australia,-32.21,138.14,no,274,179.2,59,Oviparous,"usually 2 (Swan and Watharow 2005), 2 (Porter 2008)",1,2,2,2,NA,NA,NA,Pygopodidae,NE,,
Reptilia,Squamata,Lacertilla,Pygopus nigriceps,Pygopus,nigriceps,yes,Australia,-24.47,133.96,no,227,173,70.5,Oviparous,"2 (Swanson 2007), 2 (Brown 2012), mean 2 (Mesquita et al. 2016)",1,2,1.5,2,NA,NA,NA,Pygopodidae,LC,,
Reptilia,Squamata,Lacertilla,Pygopus robertsi,Pygopus,robertsi,yes,Australia,-14.58,144.06,no,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pygopodidae,NE,,
Reptilia,Squamata,Lacertilla,Pygopus schraderi,Pygopus,schraderi,yes,Australia,-26.24,142.18,no,198,NA,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Pygopodidae,NE,,
Reptilia,Squamata,Lacertilla,Pygopus steelescotti,Pygopus,steelescotti,yes,Australia,-15.38,132.6,no,185,have mass but no SVL data,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Pygopodidae,LC,,
Reptilia,Squamata,Lacertilla,Quedenfeldtia moerens,Quedenfeldtia,moerens,yes,Palearctic,30.24,-8.34,no,40,NA,NA,Oviparous,NA,1,1,1,1,NA,NA,NA,Sphaerodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Quedenfeldtia trachyblepharus,Quedenfeldtia,trachyblepharus,yes,Palearctic,31.05,-7.7,no,46.3,42.8,20.5,Oviparous,NA,1,2,1,1,NA,24,24,Sphaerodactylidae,NT,,
Reptilia,Squamata,Lacertilla,Ramigekko swartbergensis,Ramigekko,swartbergensis,yes,Afrotropic,-33.44,21.72,no,77,NA,NA,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gekkonidae,LC,,
Reptilia,Squamata,Lacertilla,Rankinia diemensis,Rankinia,diemensis,yes,Australia,-36.46,148.24,no,84,65.2,25,Oviparous,"4-9 (Hutchinson et al. 2001), 2-7 (Brown 2012)",2,10,4.2,6.6,NA,NA,NA,Agamidae,LC,,
Reptilia,Squamata,Lacertilla,Rhachisaurus brachylepis,Rhachisaurus,brachylepis,yes,Neotropic,-17.97,-43.67,no,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Rhacodactylus auriculatus,Rhacodactylus,auriculatus,yes,Oceania,-21.57,165.76,yes,125,NA,42,Oviparous,NA,2,2,2,2,NA,NA,NA,Diplodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Rhacodactylus leachianus,Rhacodactylus,leachianus,yes,Oceania,-21.44,165.7,yes,280,200.5,60.5,Oviparous,"1-2 (Rosler 2005), 2 (Black 2005)",1,2,2,2,Henkel and Schmidt 1995: 2 years; Black 2005: 2-4 years,24,48,Diplodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Rhacodactylus trachycephalus,Rhacodactylus,trachycephalus,yes,Oceania,-22.65,167.38,yes,140,NA,NA,Viviparous,"2 (Aaron Bauer, pers. Comm. June 2017)",2,2,2,2,NA,NA,NA,Diplodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Rhacodactylus trachyrhynchus,Rhacodactylus,trachyrhynchus,yes,Oceania,-21.59,165.87,yes,190,NA,57,Viviparous,2 (Black 2005),2,2,2,2,NA,NA,NA,Diplodactylidae,EN,,
Reptilia,Squamata,Lacertilla,Rhampholeon acuminatus,Rhampholeon,acuminatus,yes,Afrotropic,-6.04,37.51,no,57,NA,NA,Oviparous,2-4 (Branch 2014),2,4,NA,NA,NA,NA,NA,Chamaeleonidae,CR,,
Reptilia,Squamata,Lacertilla,Rhampholeon beraduccii,Rhampholeon,beraduccii,yes,Afrotropic,-8.95,36.67,no,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaeleonidae,VU,,
Reptilia,Squamata,Lacertilla,Rhampholeon boulengeri,Rhampholeon,boulengeri,yes,Afrotropic,-0.92,28.18,no,62,50.8,24,Oviparous,"1-3 (Stipala 2014, Kenya Reptile Atlas (http://kenyareptileatlas.com/), Akani et al. 2001)",1,3,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon bruessoworum,Rhampholeon,bruessoworum,yes,Afrotropic,-15.08,37.39,no,47.5,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaeleonidae,CR,,
Reptilia,Squamata,Lacertilla,Rhampholeon chapmanorum,Rhampholeon,chapmanorum,yes,Afrotropic,-16.59,35.59,no,52,48.1,NA,Oviparous,NA,8,8,NA,NA,NA,NA,NA,Chamaeleonidae,CR,,
Reptilia,Squamata,Lacertilla,Rhampholeon gorongosae,Rhampholeon,gorongosae,yes,Afrotropic,-18.42,34.09,no,71,71,NA,Oviparous,NA,11,11,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon hattinghi,Rhampholeon,hattinghi,yes,Afrotropic,-6.85,29.6,no,56,50.3,NA,Oviparous,2 (Tilbury and Tolley 2015),2,2,NA,NA,NA,NA,NA,Chamaeleonidae,CR,,
Reptilia,Squamata,Lacertilla,Rhampholeon marshalli,Rhampholeon,marshalli,yes,Afrotropic,-18.83,32.8,no,73,70,20,Oviparous,NA,10,18,NA,NA,Necas 1999: 2-3 years,24,36,Chamaeleonidae,VU,,
Reptilia,Squamata,Lacertilla,Rhampholeon maspictus,Rhampholeon,maspictus,yes,Afrotropic,-16.29,36.41,no,65.8,56.2,19.8,Oviparous,"7 (Branch et al. 2014, n=1)",7,7,NA,NA,NA,NA,NA,Chamaeleonidae,NT,,
Reptilia,Squamata,Lacertilla,Rhampholeon moyeri,Rhampholeon,moyeri,yes,Afrotropic,-7.34,36.57,no,51.3,43.3,NA,Oviparous,NA,2,7,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon nchisiensis,Rhampholeon,nchisiensis,yes,Afrotropic,-10.47,33.92,no,67,NA,NA,Oviparous,NA,1,15,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon nebulauctor,Rhampholeon,nebulauctor,yes,Afrotropic,-16.51,35.73,no,48.9,45.1,NA,Oviparous,"2-4 (Branch et al. 2014, 2, 3 & 4 in 3 females)",2,4,3,3,NA,NA,NA,Chamaeleonidae,VU,,
Reptilia,Squamata,Lacertilla,Rhampholeon platyceps,Rhampholeon,platyceps,yes,Afrotropic,-15.65,35.74,no,70,57,NA,Oviparous,"7 (Branch and Ryan 2001, n=1)",7,12,NA,NA,NA,NA,NA,Chamaeleonidae,EN,,
Reptilia,Squamata,Lacertilla,Rhampholeon spectrum,Rhampholeon,spectrum,yes,Afrotropic,2.15,13.39,no,61,48.3,NA,Oviparous,"2-4 (LeBerre et al. 2000), 2 (fixed, Akani et al. 2001, but 2-5 in literature)",1,5,2,2,3 (LeBerre et al. 2000),3,3,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon spinosus,Rhampholeon,spinosus,yes,Afrotropic,-4.8,38.43,no,51,46.7,NA,Oviparous,4 (Branch 2014),3,4,NA,NA,NA,NA,NA,Chamaeleonidae,EN,,
Reptilia,Squamata,Lacertilla,Rhampholeon temporalis,Rhampholeon,temporalis,yes,Afrotropic,-5.03,38.67,no,50,46,22,Oviparous,"Patrick et al. 2011 report 3-8 younfg annually, so I assume 1 clutch, 3-8 eggs",3,8,NA,NA,NA,NA,NA,Chamaeleonidae,EN,,
Reptilia,Squamata,Lacertilla,Rhampholeon tilburyi,Rhampholeon,tilburyi,yes,Afrotropic,-15.41,37.03,no,69.7,55.2,NA,Oviparous,"7 (Branch et al. 2014, n=1)",7,7,NA,NA,NA,NA,NA,Chamaeleonidae,CR,,
Reptilia,Squamata,Lacertilla,Rhampholeon uluguruensis,Rhampholeon,uluguruensis,yes,Afrotropic,-7.03,37.67,no,50,34.6,NA,Oviparous,"3-4 (Branch 2014), 3 (Akani et al. 2001)",3,4,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhampholeon viridis,Rhampholeon,viridis,yes,Afrotropic,-3.99,37.83,no,47,45,NA,Oviparous,4-8 (Branch 2014),4,8,6,6,NA,NA,NA,Chamaeleonidae,EN,,
Reptilia,Squamata,Lacertilla,Rhineura floridana,Rhineura,floridana,yes,Nearctic,28.99,-82.09,no,380,NA,85,Oviparous,NA,1,3,NA,NA,NA,NA,NA,Rhineuridae,LC,,
Reptilia,Squamata,Lacertilla,Rhinogekko femoralis,Rhinogekko,femoralis,yes,Palearctic,28.98,61.62,no,62,NA,NA,Oviparous,"""more than two clutches of 2-8 eggs per season"" (Khan 2006), odd!",NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhinogekko misonnei,Rhinogekko,misonnei,yes,Palearctic,30.25,58.59,no,81,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhoptropella ocellata,Rhoptropella,ocellata,yes,Afrotropic,-29.2,17.58,no,46,35.5,NA,Oviparous,"2 (e.g., Branch 2016)",2,2,2,2,NA,NA,NA,Gekkonidae,LC,,
Reptilia,Squamata,Lacertilla,Rhoptropus afer,Rhoptropus,afer,yes,Afrotropic,-20.16,13.72,no,55,NA,NA,Oviparous,"2 (e.g., Schleicher 2015)",2,2,2,2,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus barnardi,Rhoptropus,barnardi,yes,Afrotropic,-17.59,13.43,no,49,44,17.5,Oviparous,"2 (e.g., Branch 2016)",2,2,2,2,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus biporosus,Rhoptropus,biporosus,yes,Afrotropic,-18.04,12.81,no,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus boultoni,Rhoptropus,boultoni,yes,Afrotropic,-18.8,14.49,no,74,47.7,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus bradfieldi,Rhoptropus,bradfieldi,yes,Afrotropic,-22.46,14.86,no,70,49,NA,Oviparous,2 (Schleicher 2015),2,2,2,2,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus diporus,Rhoptropus,diporus,yes,Afrotropic,-20.92,14.01,no,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhoptropus taeniostictus,Rhoptropus,taeniostictus,yes,Afrotropic,-15.8,12.54,no,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gekkonidae,NE,,
Reptilia,Squamata,Lacertilla,Rhynchoedura angusta,Rhynchoedura,angusta,yes,Australia,-29.26,142.28,no,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Rhynchoedura eyrensis,Rhynchoedura,eyrensis,yes,Australia,-28.6,138.23,no,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Rhynchoedura mentalis,Rhynchoedura,mentalis,yes,Australia,-23.98,146.33,no,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Rhynchoedura ormsbyi,Rhynchoedura,ormsbyi,yes,Australia,-29.93,146.68,no,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodactylidae,NE,,
Reptilia,Squamata,Lacertilla,Rhynchoedura ornata,Rhynchoedura,ornata,yes,Australia,-24.85,124.64,no,57,49.6,24,Oviparous,"2 (Swan and Watharow 2005, Brown 2012), mean 1.97 (Pianka 2014), mean 1.98 (Mesquita et al. 2016)",1,2,2,2,"Greer 2005: 12; Read 1999: ""matured in less than one year, with mid-summer hatchlings recorded as gravid early the following summer"" - so I write 10",10,12,Diplodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Rhynchoedura sexapora,Rhynchoedura,sexapora,yes,Australia,-15.28,129.39,no,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diplodactylidae,LC,,
Reptilia,Squamata,Lacertilla,Riama anatoloros,Riama,anatoloros,yes,Neotropic,-1.67,-77.83,no,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,VU,,
Reptilia,Squamata,Lacertilla,Riama balneator,Riama,balneator,yes,Neotropic,-1.51,-78.4,no,64.6,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,EN,,
Reptilia,Squamata,Lacertilla,Riama cashcaensis,Riama,cashcaensis,yes,Neotropic,-1.58,-79,no,73,NA,NA,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riama colomaromani,Riama,colomaromani,yes,Neotropic,0.27,-78.47,no,84,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riama columbiana,Riama,columbiana,yes,Neotropic,4.99,-75.79,no,82.2,71.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,EN,,
Reptilia,Squamata,Lacertilla,Riama inanis,Riama,inanis,yes,Neotropic,9.56,-69.76,no,51.5,50.5,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,DD,,
Reptilia,Squamata,Lacertilla,Riama labionis,Riama,labionis,yes,Neotropic,-0.42,-78.92,no,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,EN,,
Reptilia,Squamata,Lacertilla,Riama meleagris,Riama,meleagris,yes,Neotropic,0.66,-77.89,no,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NT,,
Reptilia,Squamata,Lacertilla,Riama orcesi,Riama,orcesi,yes,Neotropic,-0.5,-77.8,no,63,NA,22,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riama raneyi,Riama,raneyi,yes,Neotropic,-0.22,-77.74,no,82,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riama simotera,Riama,simotera,yes,Neotropic,0.67,-77.82,no,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,EN,,
Reptilia,Squamata,Lacertilla,Riama stigmatoral,Riama,stigmatoral,yes,Neotropic,-2.44,-78.52,no,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,VU,,
Reptilia,Squamata,Lacertilla,Riama striata,Riama,striata,yes,Neotropic,4.87,-74.84,no,66.2,have mass but no SVL data,33,Oviparous,NA,1,1,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Riama unicolor,Riama,unicolor,yes,Neotropic,-0.05,-78.26,no,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riama yumborum,Riama,yumborum,yes,Neotropic,0.12,-78.6,no,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,DD,,
Reptilia,Squamata,Lacertilla,Rieppeleon brachyurus,Rieppeleon,brachyurus,yes,Afrotropic,-11.25,37.47,no,50,47,NA,Oviparous,up to 14 (Branch 2014),6,14,NA,NA,NA,NA,NA,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rieppeleon brevicaudatus,Rieppeleon,brevicaudatus,yes,Afrotropic,-7.31,37.95,no,75,57.6,NA,Oviparous,"5 (Loveridge 1920); 2-4 (LeBerre 2009), 5-10 (Branch 2014), up to 9 (Kenya Reptile Atlas (http://kenyareptileatlas.com/)",2,10,5,5,LeBerre 2009: 8,8,8,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Rieppeleon kerstenii,Rieppeleon,kerstenii,yes,Afrotropic,2.99,41.95,no,71,54.6,NA,Oviparous,"5-10 (LeBerre 2009), up to 10 (Branch 2014), up to 9 (Kenya Reptile Atlas (http://kenyareptileatlas.com/)",3,10,NA,NA,Necas 1999: 12; LeBerre 2009: 7-8 months,7,12,Chamaeleonidae,LC,,
Reptilia,Squamata,Lacertilla,Riolama inopinata,Riolama,inopinata,yes,Neotropic,5.87,-62.07,no,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,NE,,
Reptilia,Squamata,Lacertilla,Riolama leucosticta,Riolama,leucosticta,yes,Neotropic,4.48,-60.41,no,53,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Riolama luridiventris,Riolama,luridiventris,yes,Neotropic,3.77,-65.48,no,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Riolama uzzelli,Riolama,uzzelli,yes,Neotropic,3.66,-65.44,no,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnophthalmidae,LC,,
Reptilia,Squamata,Lacertilla,Ristella beddomii,Ristella,beddomii,yes,Oriental,12.82,75.71,no,40,NA,NA,Oviparous,NA,3,3,3,3,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Ristella guentheri,Ristella,guentheri,yes,Oriental,9.77,77.28,no,40,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Ristella rurkii,Ristella,rurkii,yes,Oriental,10.06,77.29,no,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Ristella travancorica,Ristella,travancorica,yes,Oriental,9.23,77.37,no,40,34.4,16,Oviparous,NA,2,2,2,2,NA,NA,NA,Scincidae,DD,,
