,order,class,family,species,AaM,log.AaM,adMort,svl,repmode,juvTerr,birth.svl,longevity,juvSurv,juvMort,AdTerr,mass,birth.mass,RCM,IPB,reloff
5370,Anura,Amphibia,Rhacophoridae,Raorchestes tuberohumerus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5371,Anura,Amphibia,Rhacophoridae,Rhacophorus achantharrhena,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5372,Anura,Amphibia,Rhacophoridae,Rhacophorus angulirostris,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5373,Anura,Amphibia,Rhacophoridae,Rhacophorus annamensis,NA,NA,NA,73.2,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5374,Anura,Amphibia,Rhacophoridae,Rhacophorus appendiculatus,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5375,Anura,Amphibia,Rhacophoridae,Rhacophorus arboreus,NA,NA,NA,81.4,0,0,3.2,NA,NA,NA,1,13.9,NA,0.013791217,NA,6.08E-05
5376,Anura,Amphibia,Rhacophoridae,Rhacophorus arvalis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5377,Anura,Amphibia,Rhacophoridae,Rhacophorus aurantiventris,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5378,Anura,Amphibia,Rhacophoridae,Rhacophorus baluensis,NA,NA,NA,65,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5379,Anura,Amphibia,Rhacophoridae,Rhacophorus barisani,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5380,Anura,Amphibia,Rhacophoridae,Rhacophorus belalongensis,NA,NA,NA,38,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5381,Anura,Amphibia,Rhacophoridae,Rhacophorus bifasciatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5382,Anura,Amphibia,Rhacophoridae,Rhacophorus bimaculatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5383,Anura,Amphibia,Rhacophoridae,Rhacophorus bipunctatus,NA,NA,NA,44.8,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5384,Anura,Amphibia,Rhacophoridae,Rhacophorus burmanus,NA,NA,NA,78.7,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5385,Anura,Amphibia,Rhacophoridae,Rhacophorus calcadensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5386,Anura,Amphibia,Rhacophoridae,Rhacophorus calcaneus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5387,Anura,Amphibia,Rhacophoridae,Rhacophorus catamitus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5388,Anura,Amphibia,Rhacophoridae,Rhacophorus chenfui,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
